name,generation,status,type_number,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,percentage_male,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
Larvitar,2,Normal,2,Rock,Ground,0.6,72,300,50,64,50,45,50,41,45,35,60,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
Pupitar,2,Normal,2,Rock,Ground,1.2,152,410,70,84,70,65,70,51,45,35,144,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
Tyranitar,2,Normal,2,Rock,Dark,2,202,600,100,134,110,95,100,61,45,35,270,50,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2
Mega Tyranitar,2,Normal,2,Rock,Dark,2.5,255,700,100,164,150,95,120,71,45,35,315,50,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2
Lugia,2,Legendary,2,Psychic,Flying,5.2,216,680,106,90,130,90,154,110,3,0,306,,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
Ho-oh,2,Legendary,2,Fire,Flying,3.8,199,680,106,130,90,110,154,90,3,0,306,,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
Celebi,2,Mythical,2,Psychic,Grass,0.6,5,600,100,100,100,100,100,100,45,100,270,,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
Treecko,3,Normal,1,Grass,none,0.5,5,310,40,45,35,65,55,70,45,70,62,87.5,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Grovyle,3,Normal,1,Grass,none,0.9,21.6,405,50,65,45,85,65,95,45,70,142,87.5,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Sceptile,3,Normal,1,Grass,none,1.7,52.2,530,70,85,65,105,85,120,45,70,239,87.5,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Mega Sceptile,3,Normal,2,Grass,Dragon,1.9,55.2,630,70,110,75,145,85,145,45,70,284,87.5,1,1,0.25,0,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2
Torchic,3,Normal,1,Fire,none,0.4,2.5,310,45,60,40,70,50,45,45,70,62,87.5,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Combusken,3,Normal,2,Fire,Fighting,0.9,19.5,405,60,85,60,85,60,55,45,70,142,87.5,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
Blaziken,3,Normal,2,Fire,Fighting,1.9,52,530,80,120,70,110,70,80,45,70,239,87.5,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
Mega Blaziken,3,Normal,2,Fire,Fighting,1.9,52,630,80,160,80,130,80,100,45,70,284,87.5,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
Mudkip,3,Normal,1,Water,none,0.4,7.6,310,50,70,50,50,50,40,45,70,62,87.5,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Marshtomp,3,Normal,2,Water,Ground,0.7,28,405,70,85,70,60,70,50,45,70,142,87.5,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
Swampert,3,Normal,2,Water,Ground,1.5,81.9,535,100,110,90,85,90,60,45,70,241,87.5,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
Mega Swampert,3,Normal,2,Water,Ground,1.9,102,635,100,150,110,95,110,70,45,70,286,87.5,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
Poochyena,3,Normal,1,Dark,none,0.5,13.6,220,35,55,35,30,30,35,255,70,56,50,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
Mightyena,3,Normal,1,Dark,none,1,37,420,70,90,70,60,60,70,127,70,147,50,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
Zigzagoon,3,Normal,1,Normal,none,0.4,17.5,240,38,30,41,30,41,60,255,70,56,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Galarian Zigzagoon,3,Normal,2,Dark,Normal,0.4,17.5,240,38,30,41,30,41,60,,,,,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
Linoone,3,Normal,1,Normal,none,0.5,32.5,420,78,70,61,50,61,100,90,70,147,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Galarian Linoone,3,Normal,2,Dark,Normal,0.5,32.5,420,78,70,61,50,61,100,,,,,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
Wurmple,3,Normal,1,Bug,none,0.3,3.6,195,45,45,35,20,30,20,255,70,56,50,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Silcoon,3,Normal,1,Bug,none,0.6,10,205,50,35,55,25,25,15,120,70,72,50,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Beautifly,3,Normal,2,Bug,Flying,1,28.4,395,60,70,50,100,50,65,45,70,178,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
Cascoon,3,Normal,1,Bug,none,0.7,11.5,205,50,35,55,25,25,15,120,70,72,50,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Dustox,3,Normal,2,Bug,Poison,1.2,31.6,385,60,50,70,50,90,65,45,70,173,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Lotad,3,Normal,2,Water,Grass,0.5,2.6,220,40,30,30,40,50,30,255,70,44,50,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
Lombre,3,Normal,2,Water,Grass,1.2,32.5,340,60,50,50,60,70,50,120,70,119,50,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
Ludicolo,3,Normal,2,Water,Grass,1.5,55,480,80,70,70,90,100,70,45,70,216,50,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
Seedot,3,Normal,1,Grass,none,0.5,4,220,40,40,50,30,30,30,255,70,44,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Nuzleaf,3,Normal,2,Grass,Dark,1,28,340,70,70,40,60,40,60,120,70,119,50,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
Shiftry,3,Normal,2,Grass,Dark,1.3,59.6,480,90,100,60,90,60,80,45,70,216,50,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
Taillow,3,Normal,2,Normal,Flying,0.3,2.3,270,40,55,30,30,30,85,200,70,54,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Swellow,3,Normal,2,Normal,Flying,0.7,19.8,455,60,85,60,75,50,125,45,70,159,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Wingull,3,Normal,2,Water,Flying,0.6,9.5,270,40,30,30,55,30,85,190,70,54,50,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
Pelipper,3,Normal,2,Water,Flying,1.2,28,440,60,50,100,95,70,65,45,70,154,50,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
Ralts,3,Normal,2,Psychic,Fairy,0.4,6.6,198,28,25,25,45,35,40,235,35,40,50,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
Kirlia,3,Normal,2,Psychic,Fairy,0.8,20.2,278,38,35,35,65,55,50,120,35,97,50,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
Gardevoir,3,Normal,2,Psychic,Fairy,1.6,48.4,518,68,65,65,125,115,80,45,35,233,50,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
Mega Gardevoir,3,Normal,2,Psychic,Fairy,1.6,48.4,618,68,85,65,165,135,100,45,35,278,50,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
Surskit,3,Normal,2,Bug,Water,0.5,1.7,269,40,30,32,50,52,65,200,70,54,50,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1
Masquerain,3,Normal,2,Bug,Flying,0.8,3.6,454,70,60,62,100,82,80,75,70,159,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
Shroomish,3,Normal,1,Grass,none,0.4,4.5,295,60,40,60,40,60,35,255,70,59,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Breloom,3,Normal,2,Grass,Fighting,1.2,39.2,460,60,130,80,60,60,70,90,70,161,50,1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,2
Slakoth,3,Normal,1,Normal,none,0.8,24,280,60,60,60,35,35,30,255,70,56,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Vigoroth,3,Normal,1,Normal,none,1.4,46.5,440,80,80,80,55,55,90,120,70,154,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Slaking,3,Normal,1,Normal,none,2,130.5,670,150,160,100,95,65,100,45,70,252,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Nincada,3,Normal,2,Bug,Ground,0.5,5.5,266,31,45,90,30,30,40,255,70,53,50,1,2,2,0,1,2,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1
Ninjask,3,Normal,2,Bug,Flying,0.8,12,456,61,90,45,50,50,160,120,70,160,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
Shedinja,3,Normal,2,Bug,Ghost,0.8,1.2,236,1,90,45,30,30,40,45,70,83,,0,2,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0
Whismur,3,Normal,1,Normal,none,0.6,16.3,240,64,51,23,51,23,28,190,70,48,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Loudred,3,Normal,1,Normal,none,1,40.5,360,84,71,43,71,43,48,120,70,126,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Exploud,3,Normal,1,Normal,none,1.5,84,490,104,91,63,91,73,68,45,70,221,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Makuhita,3,Normal,1,Fighting,none,1,86.4,237,72,60,30,20,30,25,180,70,47,75,1,0.5,1,1,1,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
Hariyama,3,Normal,1,Fighting,none,2.3,253.8,474,144,120,60,40,60,50,200,70,166,75,1,0.5,1,1,1,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
Azurill,3,Normal,2,Normal,Fairy,0.2,2,190,50,20,40,20,40,20,150,70,38,25,1,0.5,1,1,1,0.5,1,2,1,1,1,0.5,1,0,0,0.5,2,1
Nosepass,3,Normal,1,Rock,none,1,97,375,30,45,135,45,90,30,255,70,75,50,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
Skitty,3,Normal,1,Normal,none,0.6,11,260,50,45,45,35,35,50,255,70,52,25,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Delcatty,3,Normal,1,Normal,none,1.1,32.6,400,70,65,65,55,55,90,60,70,140,25,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Sableye,3,Normal,2,Dark,Ghost,0.5,11,380,50,75,75,65,65,50,45,35,133,50,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2
Mega Sableye,3,Normal,2,Dark,Ghost,0.5,161,480,50,85,125,85,115,20,45,35,168,50,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2
Mawile,3,Normal,2,Steel,Fairy,0.6,11.5,380,50,85,85,55,55,50,45,70,133,50,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.5,0.25,0.5,1,0,0.5,1,0.5
Mega Mawile,3,Normal,2,Steel,Fairy,1,23.5,480,50,105,125,55,95,50,45,70,168,50,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.5,0.25,0.5,1,0,0.5,1,0.5
Aron,3,Normal,2,Steel,Rock,0.4,60,330,50,70,100,40,40,30,180,35,66,50,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5
Lairon,3,Normal,2,Steel,Rock,0.9,120,430,60,90,140,50,50,40,90,35,151,50,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5
Aggron,3,Normal,2,Steel,Rock,2.1,360,530,70,110,180,60,60,50,45,35,239,50,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5
Mega Aggron,3,Normal,1,Steel,none,2.2,395,630,70,140,230,60,80,50,45,35,284,50,0.5,1.5,1,1,0.5,0.5,1.5,0,1.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5
Meditite,3,Normal,2,Fighting,Psychic,0.6,11.2,280,30,40,55,40,55,60,180,70,56,50,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2
Medicham,3,Normal,2,Fighting,Psychic,1.3,31.5,410,60,60,75,60,75,80,90,70,144,50,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2
Mega Medicham,3,Normal,2,Fighting,Psychic,1.3,31.5,510,60,100,85,80,85,100,90,70,179,50,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2
Electrike,3,Normal,1,Electric,none,0.6,15.2,295,40,45,40,65,40,65,120,70,59,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Manectric,3,Normal,1,Electric,none,1.5,40.2,475,70,75,60,105,60,105,45,70,166,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Mega Manectric,3,Normal,1,Electric,none,1.8,44,575,70,75,80,135,80,135,45,70,201,50,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Plusle,3,Normal,1,Electric,none,0.4,4.2,405,60,50,40,85,75,95,200,70,142,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Minun,3,Normal,1,Electric,none,0.4,4.2,405,60,40,50,75,85,95,200,70,142,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Volbeat,3,Normal,1,Bug,none,0.7,17.7,430,65,73,75,47,85,85,150,70,151,100,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Illumise,3,Normal,1,Bug,none,0.6,17.7,430,65,47,75,73,85,85,150,70,151,0,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Roselia,3,Normal,2,Grass,Poison,0.3,2,400,50,60,45,100,80,65,150,70,140,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Gulpin,3,Normal,1,Poison,none,0.4,10.3,302,70,43,53,43,53,40,225,70,60,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Swalot,3,Normal,1,Poison,none,1.7,80,467,100,73,83,73,83,55,75,70,163,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Carvanha,3,Normal,2,Water,Dark,0.8,20.8,305,45,90,20,65,20,65,225,35,61,50,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2
Sharpedo,3,Normal,2,Water,Dark,1.8,88.8,460,70,120,40,95,40,95,60,35,161,50,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2
Mega Sharpedo,3,Normal,2,Water,Dark,2.5,130.3,560,70,140,70,110,65,105,60,35,196,50,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2
Wailmer,3,Normal,1,Water,none,2,130,400,130,70,35,70,35,60,125,70,80,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Wailord,3,Normal,1,Water,none,14.5,398,500,170,90,45,90,45,60,60,70,175,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Numel,3,Normal,2,Fire,Ground,0.7,24,305,60,60,40,65,45,35,255,70,61,50,1,0.5,4,0,1,1,1,0.5,2,1,1,0.5,1,1,1,1,0.5,0.5
Camerupt,3,Normal,2,Fire,Ground,1.9,220,460,70,100,70,105,75,40,150,70,161,50,1,0.5,4,0,1,1,1,0.5,2,1,1,0.5,1,1,1,1,0.5,0.5
Mega Camerupt,3,Normal,2,Fire,Ground,2.5,320.5,560,70,120,100,145,105,20,150,70,196,50,1,0.5,3,0,1,1,1,0.5,1.5,1,1,0.5,1,1,1,1,0.5,0.5
Torkoal,3,Normal,1,Fire,none,0.5,80.4,470,70,85,140,85,70,20,90,70,165,50,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Spoink,3,Normal,1,Psychic,none,0.7,30.6,330,60,25,35,70,80,60,255,70,66,50,1,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,2,1,2,1,1
Grumpig,3,Normal,1,Psychic,none,0.9,71.5,470,80,45,65,90,110,80,60,70,165,50,1,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,2,1,2,1,1
Spinda,3,Normal,1,Normal,none,1.1,5,360,60,60,60,60,60,60,255,70,126,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Trapinch,3,Normal,1,Ground,none,0.7,15,290,45,100,45,45,45,10,255,70,58,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
Vibrava,3,Normal,2,Ground,Dragon,1.1,15.3,340,50,70,50,50,50,70,120,70,119,50,1,0.5,1,0,1,4,1,0.5,0,1,1,1,0.5,1,2,1,1,2
Flygon,3,Normal,2,Ground,Dragon,2,82,520,80,100,80,80,80,100,45,70,234,50,1,0.5,1,0,1,4,1,0.5,0,1,1,1,0.5,1,2,1,1,2
Cacnea,3,Normal,1,Grass,none,0.4,51.3,335,50,85,40,85,40,35,190,35,67,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Cacturne,3,Normal,2,Grass,Dark,1.3,77.4,475,70,115,60,115,60,55,60,35,166,50,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
Swablu,3,Normal,2,Normal,Flying,0.4,1.2,310,45,40,60,40,75,50,255,70,62,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Altaria,3,Normal,2,Dragon,Flying,1.1,20.6,490,75,70,90,70,105,80,45,70,172,50,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2
Mega Altaria,3,Normal,2,Dragon,Fairy,1.5,20.6,590,75,110,110,110,105,80,45,70,207,50,1,0.5,0.5,0.5,0.5,2,0.5,2,1,1,1,0.5,1,1,0,0.5,2,2
Zangoose,3,Normal,1,Normal,none,1.3,40.3,458,73,115,60,60,60,90,90,70,160,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Seviper,3,Normal,1,Poison,none,2.7,52.5,458,73,100,60,100,60,65,90,70,160,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Lunatone,3,Normal,2,Rock,Psychic,1,168,460,90,55,65,95,85,70,45,70,161,,0.5,0.5,2,1,2,1,1,0.5,0,0.5,0.5,2,1,2,1,2,2,1
Solrock,3,Normal,2,Rock,Psychic,1.2,154,460,90,95,85,55,65,70,45,70,161,,0.5,0.5,2,1,2,1,1,0.5,0,0.5,0.5,2,1,2,1,2,2,1
Barboach,3,Normal,2,Water,Ground,0.4,1.9,288,50,48,43,46,41,60,190,70,58,50,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
Whiscash,3,Normal,2,Water,Ground,0.9,23.6,468,110,78,73,76,71,60,75,70,164,50,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
Corphish,3,Normal,1,Water,none,0.6,11.5,308,43,80,65,50,35,35,205,70,62,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Crawdaunt,3,Normal,2,Water,Dark,1.1,32.8,468,63,120,85,90,55,55,155,70,164,50,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2
Baltoy,3,Normal,2,Ground,Psychic,0.5,21.5,300,40,40,55,40,70,55,255,70,60,,1,1,2,0,2,2,0.5,0.5,0,1,0.5,2,0.5,2,1,2,1,1
Claydol,3,Normal,2,Ground,Psychic,1.5,108,500,60,70,105,70,120,75,90,70,175,,1,1,2,0,2,2,0.5,0.5,0,1,0.5,2,0.5,2,1,2,1,1
Lileep,3,Normal,2,Rock,Grass,1,23.8,355,66,41,77,61,87,23,45,70,71,87.5,0.5,1,1,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,1
Cradily,3,Normal,2,Rock,Grass,1.5,60.4,495,86,81,97,81,107,43,45,70,173,87.5,0.5,1,1,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,1
Anorith,3,Normal,2,Rock,Bug,0.7,12.5,355,45,95,50,40,50,75,45,70,71,87.5,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1
Armaldo,3,Normal,2,Rock,Bug,1.5,68.2,495,75,125,100,70,80,45,45,70,173,87.5,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1
Feebas,3,Normal,1,Water,none,0.6,7.4,200,20,15,20,10,55,80,255,70,40,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Milotic,3,Normal,1,Water,none,6.2,162,540,95,60,79,100,125,81,60,70,189,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Castform,3,Normal,1,Normal,none,0.3,0.8,420,70,70,70,70,70,70,45,70,147,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Castform Sunny Form,3,Normal,1,Fire,none,0.3,0.8,420,70,70,70,70,70,70,45,70,147,50,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Castform Rainy Form,3,Normal,1,Water,none,0.3,0.8,420,70,70,70,70,70,70,45,70,147,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Castform Snowy Form,3,Normal,1,Ice,none,0.3,0.8,420,70,70,70,70,70,70,45,70,147,50,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
Kecleon,3,Normal,1,Normal,none,1,22,440,60,90,70,60,120,40,200,70,154,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Shuppet,3,Normal,1,Ghost,none,0.6,2.3,295,44,75,35,63,33,45,225,35,59,50,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
Banette,3,Normal,1,Ghost,none,1.1,12.5,455,64,115,65,83,63,65,45,35,159,50,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
Mega Banette,3,Normal,1,Ghost,none,1.2,13,555,64,165,75,93,83,75,45,35,194,50,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
Duskull,3,Normal,1,Ghost,none,0.8,15,295,20,40,90,30,90,25,190,35,59,50,0,1,1,1,1,1,0,0.5,0,1,1,0.5,1,2,1,2,1,1
Dusclops,3,Normal,1,Ghost,none,1.6,30.6,455,40,70,130,60,130,25,90,35,159,50,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
Tropius,3,Normal,2,Grass,Flying,2,100,460,99,68,83,72,87,51,200,70,161,50,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
Chimecho,3,Normal,1,Psychic,none,0.6,1,455,75,50,80,95,90,65,45,70,159,50,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1
Absol,3,Normal,1,Dark,none,1.2,47,465,65,130,60,75,60,75,30,35,163,50,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
Mega Absol,3,Normal,1,Dark,none,1.2,49,565,65,150,60,115,60,115,30,35,198,50,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
Wynaut,3,Normal,1,Psychic,none,0.6,14,260,95,23,48,23,48,23,125,70,52,50,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
Snorunt,3,Normal,1,Ice,none,0.7,16.8,300,50,50,50,50,50,50,190,70,60,50,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
Glalie,3,Normal,1,Ice,none,1.5,256.5,480,80,80,80,80,80,80,75,70,168,50,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
Mega Glalie,3,Normal,1,Ice,none,2.1,350.2,580,80,120,80,120,80,100,75,70,203,50,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
Spheal,3,Normal,2,Ice,Water,0.8,39.5,290,70,40,50,55,50,25,255,70,58,50,1,0.5,0.5,2,2,0.125,2,1,1,1,1,1,2,1,1,1,1,1
Sealeo,3,Normal,2,Ice,Water,1.1,87.6,410,90,60,70,75,70,45,120,70,144,50,1,0.5,0.5,2,2,0.125,2,1,1,1,1,1,2,1,1,1,1,1
Walrein,3,Normal,2,Ice,Water,1.4,150.6,530,110,80,90,95,90,65,45,70,239,50,1,0.5,0.5,2,2,0.125,2,1,1,1,1,1,2,1,1,1,1,1
Clamperl,3,Normal,1,Water,none,0.4,52.5,345,35,64,85,74,55,32,255,70,69,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Huntail,3,Normal,1,Water,none,1.7,27,485,55,104,105,94,75,52,60,70,170,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Gorebyss,3,Normal,1,Water,none,1.8,22.6,485,55,84,105,114,75,52,60,70,170,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Relicanth,3,Normal,2,Water,Rock,1,23.4,485,100,90,130,45,65,55,25,70,170,87.5,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
Luvdisc,3,Normal,1,Water,none,0.6,8.7,330,43,30,55,40,65,97,225,70,116,25,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Bagon,3,Normal,1,Dragon,none,0.6,42.1,300,45,75,60,40,30,50,45,35,60,50,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
